TSP instances (optimal),Algorithm,Min Cost,Avg Cost,Inaccuracy
berlin52(7542),"GA, Elitist, Pop=100, Mut=0.01.",8115,8787,7.6
berlin52(7542),"GA, Roulette, Pop=100, Mut=0.01.",8882,10090,17.8
berlin52(7542),"RL+GA, Method=double_q_learning_rl, Gamma=0.01, Reward=1, Epsilon=1, Elitist, Pop=40, Mut=0.01.",7917,8243,5.0
berlin52(7542),"RL+GA, Method=double_q_learning_rl, Gamma=0.01, Reward=1, Epsilon=1, Roulette, Pop=40, Mut=0.01.",7823,8329,3.7
berlin52(7542),"RL+GA, Method=double_q_learning_rl, Gamma=0.15, Reward=1, Epsilon=1, Elitist, Pop=40, Mut=0.01.",7998,8479,6.1
berlin52(7542),"RL+GA, Method=double_q_learning_rl, Gamma=0.15, Reward=1, Epsilon=1, Roulette, Pop=40, Mut=0.01.",7798,8351,3.4
berlin52(7542),"RL+GA, Method=double_q_learning_rl, Gamma=0.3, Reward=1, Epsilon=1, Elitist, Pop=40, Mut=0.01.",7950,8627,5.4
berlin52(7542),"RL+GA, Method=double_q_learning_rl, Gamma=0.3, Reward=1, Epsilon=1, Roulette, Pop=40, Mut=0.01.",7914,8677,4.9
berlin52(7542),"RL+GA, Method=q_learning_rl, Gamma=0.01, Reward=1, Epsilon=1, Elitist, Pop=40, Mut=0.01.",7917,8243,5.0
berlin52(7542),"RL+GA, Method=q_learning_rl, Gamma=0.01, Reward=1, Epsilon=1, Roulette, Pop=40, Mut=0.01.",7823,8329,3.7
berlin52(7542),"RL+GA, Method=q_learning_rl, Gamma=0.15, Reward=1, Epsilon=1, Elitist, Pop=40, Mut=0.01.",7998,8479,6.1
berlin52(7542),"RL+GA, Method=q_learning_rl, Gamma=0.15, Reward=1, Epsilon=1, Roulette, Pop=40, Mut=0.01.",7798,8351,3.4
berlin52(7542),"RL+GA, Method=q_learning_rl, Gamma=0.3, Reward=1, Epsilon=1, Elitist, Pop=40, Mut=0.01.",7950,8627,5.4
berlin52(7542),"RL+GA, Method=q_learning_rl, Gamma=0.3, Reward=1, Epsilon=1, Roulette, Pop=40, Mut=0.01.",7914,8677,4.9
berlin52(7542),"RL+GA, Method=sarsa_rl, Gamma=0.01, Reward=1, Epsilon=1, Elitist, Pop=40, Mut=0.01.",7885,8247,4.5
berlin52(7542),"RL+GA, Method=sarsa_rl, Gamma=0.01, Reward=1, Epsilon=1, Roulette, Pop=40, Mut=0.01.",7835,8332,3.9
berlin52(7542),"RL+GA, Method=sarsa_rl, Gamma=0.15, Reward=1, Epsilon=1, Elitist, Pop=40, Mut=0.01.",7968,8495,5.7
berlin52(7542),"RL+GA, Method=sarsa_rl, Gamma=0.15, Reward=1, Epsilon=1, Roulette, Pop=40, Mut=0.01.",8041,8431,6.6
berlin52(7542),"RL+GA, Method=sarsa_rl, Gamma=0.3, Reward=1, Epsilon=1, Elitist, Pop=40, Mut=0.01.",7907,8404,4.8
berlin52(7542),"RL+GA, Method=sarsa_rl, Gamma=0.3, Reward=1, Epsilon=1, Roulette, Pop=40, Mut=0.01.",7856,8427,4.2
berlin52(7542),"RL, Method=double_q_learning, Gamma=0.01, Reward=1, Epsilon=1",8665,9061,14.9
berlin52(7542),"RL, Method=double_q_learning, Gamma=0.15, Reward=1, Epsilon=1",9047,10396,20.0
berlin52(7542),"RL, Method=double_q_learning, Gamma=0.3, Reward=1, Epsilon=1",9564,10389,26.8
